Timestamp,"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Blazor / C#]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Rust]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [C++ / Emscripten]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Go / TinyGo]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [AssemblyScript]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Grain]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Python]","Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Zig]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Blazor / C#],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Rust],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [C++ / Emscripten],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Go / TinyGo],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [AssemblyScript],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Grain],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Python],Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Zig],Your Current Usage - what are you using WebAssembly for at the moment?,Future impact - where do you think WebAssembly will have the most impact in the future? [Web development],Future impact - where do you think WebAssembly will have the most impact in the future? [Blockchain],Future impact - where do you think WebAssembly will have the most impact in the future? [Internet of Things],Future impact - where do you think WebAssembly will have the most impact in the future? [Serverless],Future impact - where do you think WebAssembly will have the most impact in the future? [Containerisation],Future impact - where do you think WebAssembly will have the most impact in the future? [Game Development],Future impact - where do you think WebAssembly will have the most impact in the future? [Scientific],Future impact - where do you think WebAssembly will have the most impact in the future? [Cryptography],Future impact - where do you think WebAssembly will have the most impact in the future? [Audio / Video Processing],Future impact - where do you think WebAssembly will have the most impact in the future? [Artificial Intelligence],Future features - what future WebAssembly features are you interested in? [SIMD],Future features - what future WebAssembly features are you interested in? [Garbage Collection],Future features - what future WebAssembly features are you interested in? [ECMAScript module integration],Future features - what future WebAssembly features are you interested in? [Threads],Future features - what future WebAssembly features are you interested in? [Interface Types],Future features - what future WebAssembly features are you interested in? [Module Linking],Future features - what future WebAssembly features are you interested in? [Exception handling],Future features - what future WebAssembly features are you interested in? [WASI - WebAssembly System Interface],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better build tooling],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better debugging support],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [A greater breadth of supported languages],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [A stronger and more inclusive community],What WebAssembly Needs - what do you feel WebAssembly most needs to be a success in the future? [Better integration with JavaScript and browser APIs],Job Role - what most closely describes your role?,JavaScript Proficiency - how proficient are you at JavaScript?,WebAssembly Proficiency - how proficient are you at WebAssembly?,WebAssembly Experience - how long have you used or known about WebAssembly for?,Back-end Proficiency - how proficient are you at back-end development?,Industry Sector - which industry sector(s) do you work in?,Your Country or Region - where do you call home?,Current Language Usage - are there any other languages not listed about that you use?,,,Desired Usage - are there any other languages not listed about that you want to use?,"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Swift]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Swift],"Current Language Usage - which languages do you use, or have you tried using for WebAssembly development? [Java]",Desired Usage - which languages do you most want to use in the future for WebAssembly development? [Java]
6/15/2021 0:25:12,not used,use sometimes,not used,not used,use sometimes,not used,not used,not used,want to use a little,want to use a little,don’t want to use,don’t want to use,want to use a lot,want to use a little,don’t want to use,don’t want to use,"Web development, Serverless, Containerisation, Plugins / AddOns",some impact,very high impact,some impact,very high impact,very high impact,very high impact,very high impact,some impact,very high impact,very high impact,modest interest,very interested,very interested,modest interest,very interested,very interested,modest interest,very interested,needs this,needs this,needs this,needs this,really needs this,"Developer, desktop or enterprise applications","Handling advanced front-end patterns (state management, data loading, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",4 years,Able to handle complex multi-server or microservices architectures,Programming & Technical Tools,Australia,,,,JavaScript,not used,don’t want to use,not used,don’t want to use
6/15/2021 0:48:30,not used,use sometimes,not used,not used,not used,not used,not used,not used,want to use a little,want to use a little,don’t want to use,don’t want to use,don’t want to use,want to use a little,don’t want to use,want to use a little,"Web development, Serverless",very high impact,some impact,some impact,very high impact,very high impact,some impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,no interest,very interested,no interest,modest interest,very interested,very interested,very interested,very interested,needs this,needs this,really needs this,doesn’t need this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Internet Service Provider,Japan,"Haskell, C(WASI), C++(WASI)",,,"Haskell, my own original language",not used,want to use a little,not used,want to use a little
6/15/2021 1:39:15,not used,have used occasionally,not used,not used,have used occasionally,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,Web development,very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,don’t know what it is :shrug:,modest interest,very interested,very interested,very interested,don’t know what it is :shrug:,don’t know what it is :shrug:,very interested,really needs this,really needs this,doesn’t need this,needs this,needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I am confident in using WebAssembly, but consider it a ‘black box’",< 1 year,Able to handle complex multi-server or microservices architectures,Finance,United States,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 2:43:06,not used,not used,not used,not used,have used occasionally,not used,not used,not used,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a lot,not heard of it,don’t want to use,not heard of it,"Web development, Game Development",very high impact,low impact,low impact,low impact,low impact,very high impact,low impact,low impact,low impact,low impact,don’t know what it is :shrug:,don’t know what it is :shrug:,very interested,very interested,very interested,don’t know what it is :shrug:,very interested,no interest,really needs this,really needs this,really needs this,really needs this,really needs this,"Developer, mobile","Writing short, simple JavaScript or jQuery statements","I am confident in using WebAssembly, but consider it a ‘black box’",2 years,Not able to handle any back-end work,Entertainment,Hungary,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 2:54:52,not used,use frequently,use frequently,use frequently,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a lot,want to use a lot,not heard of it,not heard of it,want to use a little,not heard of it,"Web development, Game Development, Audio / Video Processing",very high impact,some impact,some impact,some impact,some impact,very high impact,some impact,some impact,very high impact,some impact,very interested,modest interest,very interested,very interested,very interested,very interested,very interested,very interested,really needs this,really needs this,doesn’t need this,needs this,really needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",4 years,Able to handle complex multi-server or microservices architectures,Ecommerce & Retail,United States,,,,,not used,not heard of it,not used,not heard of it
6/15/2021 5:04:58,not used,use frequently,not used,not used,have used occasionally,not used,not used,not used,want to use a lot,want to use a lot,don’t want to use,don’t want to use,want to use a lot,want to use a lot,don’t want to use,don’t want to use,"Web development, Serverless, Containerisation",some impact,some impact,very high impact,very high impact,very high impact,very high impact,some impact,low impact,low impact,low impact,modest interest,modest interest,no interest,modest interest,very interested,very interested,modest interest,very interested,really needs this,needs this,needs this,really needs this,doesn’t need this,"Developer, back-end","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I’ve created advanced WebAssembly tooling (compilers, analyzers)",2 years,Able to handle complex multi-server or microservices architectures,IT Automation Software,India,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 5:13:27,not used,have used occasionally,not used,have used occasionally,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,want to use a little,don’t want to use,not heard of it,want to use a little,not heard of it,Blockchain,very high impact,very high impact,very high impact,Don't know :shrug:,Don't know :shrug:,very high impact,Don't know :shrug:,very high impact,very high impact,Don't know :shrug:,no interest,no interest,modest interest,modest interest,no interest,modest interest,modest interest,modest interest,needs this,needs this,doesn’t need this,needs this,needs this,"Developer, back-end",Architecturing entire front-end codebases from scratch,"I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Marketing/Sales/Analytics Tools,United States,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 5:22:07,not used,use frequently,use sometimes,not used,have used occasionally,not used,have used occasionally,not used,want to use a lot,want to use a lot,want to use a little,want to use a little,want to use a little,don’t want to use,want to use a lot,don’t want to use,"Web development, Game Development, Scientific, Audio / Video Processing",very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very interested,no interest,modest interest,very interested,very interested,very interested,very interested,very interested,needs this,really needs this,doesn’t need this,needs this,really needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Science,United States,,,,,not used,want to use a lot,not used,want to use a lot
6/15/2021 5:28:45,not used,have used occasionally,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,not heard of it,want to use a little,not heard of it,don’t want to use,don’t want to use,not using at the moment,very high impact,some impact,some impact,some impact,some impact,very high impact,low impact,some impact,very high impact,low impact,modest interest,modest interest,very interested,very interested,very interested,modest interest,no interest,modest interest,really needs this,really needs this,needs this,needs this,really needs this,"Developer, back-end","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",4 years,"Able to develop apps using pre-existing frameworks (Rails, Laravel, etc.)",Entertainment,Russian Federation,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 6:07:38,have used occasionally,not used,have used occasionally,not used,not used,not used,have used occasionally,not used,want to use a little,want to use a little,don’t want to use,don’t want to use,don’t want to use,not heard of it,want to use a little,not heard of it,"None atm intentionally, but Dart uses a canvas + webassembly backend for displaying the WebApps",very high impact,some impact,some impact,Don't know :shrug:,Don't know :shrug:,some impact,Don't know :shrug:,Don't know :shrug:,very high impact,some impact,don’t know what it is :shrug:,very interested,very interested,very interested,no interest,no interest,modest interest,very interested,really needs this,really needs this,doesn’t need this,doesn’t need this,really needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",5+ years,"Able to set up all-in-one CMSs (WordPress, etc.) or static site generators (Jekyll, etc.)",Programming & Technical Tools,Germany,"Typescript, Dart",,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 6:12:07,not used,not used,use sometimes,not used,use sometimes,not used,not used,not used,don’t want to use,want to use a little,want to use a little,don’t want to use,want to use a lot,don’t want to use,want to use a little,don’t want to use,"Web development, Serverless, Audio / Video Processing",some impact,Don't know :shrug:,Don't know :shrug:,very high impact,some impact,some impact,very high impact,very high impact,very high impact,very high impact,very interested,modest interest,modest interest,very interested,very interested,very interested,modest interest,modest interest,needs this,needs this,doesn’t need this,needs this,needs this,"Developer, front-end","Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,Norway,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 6:27:57,not used,not used,use frequently,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,don’t want to use,not heard of it,not heard of it,want to use a lot,not heard of it,"Web development, Artificial Intelligence",some impact,very high impact,some impact,some impact,low impact,some impact,low impact,very high impact,some impact,some impact,very interested,very interested,modest interest,modest interest,modest interest,very interested,very interested,very interested,really needs this,really needs this,doesn’t need this,really needs this,really needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Consulting & Services,China,no,,,no,not used,don’t want to use,not used,don’t want to use
6/15/2021 6:43:06,not used,not used,have used occasionally,not used,not used,not used,not used,not used,not heard of it,want to use a lot,want to use a lot,don’t want to use,want to use a little,not heard of it,want to use a lot,not heard of it,Pathfinding ,some impact,Don't know :shrug:,very high impact,very high impact,some impact,some impact,low impact,some impact,low impact,low impact,very interested,very interested,very interested,very interested,very interested,very interested,very interested,very interested,needs this,really needs this,doesn’t need this,needs this,needs this,"Developer, back-end","Writing short, simple JavaScript or jQuery statements","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,Not able to handle any back-end work,Programming & Technical Tools,Canada,,,,,not used,want to use a little,not used,want to use a lot
6/15/2021 6:45:41,not used,use frequently,use sometimes,have used occasionally,have used occasionally,not used,use sometimes,have used occasionally,don’t want to use,want to use a lot,want to use a little,want to use a little,want to use a lot,don’t want to use,want to use a lot,want to use a little,"Blockchain, Internet of Things, Serverless, Cryptography, Audio / Video Processing, Artificial Intelligence",very high impact,very high impact,very high impact,very high impact,very high impact,some impact,some impact,some impact,some impact,some impact,very interested,no interest,very interested,very interested,very interested,no interest,very interested,modest interest,really needs this,needs this,really needs this,really needs this,really needs this,Senior executive/VP,"Handling advanced front-end patterns (state management, data loading, etc.)","I’ve created advanced WebAssembly tooling (compilers, analyzers)",4 years,Able to handle complex multi-server or microservices architectures,Programming & Technical Tools,United States,,,,,have used occasionally,want to use a little,have used occasionally,want to use a little
6/15/2021 6:47:06,not used,not used,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,want to use a little,want to use a little,want to use a little,don’t want to use,want to use a little,Hobby Scheme to WAT/WASM compiler,some impact,some impact,very high impact,very high impact,very high impact,some impact,some impact,very high impact,some impact,some impact,very interested,very interested,modest interest,modest interest,very interested,very interested,very interested,very interested,needs this,needs this,really needs this,really needs this,needs this,"Developer, mobile","Writing short, simple JavaScript or jQuery statements","I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,Able to handle complex multi-server or microservices architectures,Consulting & Services,Finland,WAT,,,"Scheme, Common Lisp, ML derivatives, Motoko, Type/JavaScript ",not used,want to use a lot,not used,don’t want to use
6/15/2021 6:50:25,not used,use frequently,not used,have used occasionally,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,want to use a little,want to use a little,not heard of it,don’t want to use,don’t want to use,Web development,very high impact,some impact,very high impact,very high impact,very high impact,very high impact,some impact,Don't know :shrug:,some impact,Don't know :shrug:,modest interest,no interest,modest interest,modest interest,very interested,modest interest,modest interest,modest interest,needs this,needs this,needs this,really needs this,needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Finance,India,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 6:58:44,not used,have used occasionally,have used occasionally,not used,not used,not used,not used,have used occasionally,don’t want to use,want to use a lot,want to use a lot,want to use a little,don’t want to use,don’t want to use,don’t want to use,want to use a lot,"Web development, Game Development",some impact,Don't know :shrug:,low impact,some impact,low impact,very high impact,very high impact,very high impact,very high impact,very high impact,very interested,no interest,very interested,very interested,modest interest,modest interest,modest interest,modest interest,doesn’t need this,really needs this,doesn’t need this,needs this,really needs this,"Developer, game or graphics",Architecturing entire front-end codebases from scratch,"I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Entertainment,Iceland,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 7:06:14,use frequently,not used,not used,not used,not used,not used,not used,not used,want to use a lot,don’t want to use,don’t want to use,don’t want to use,don’t want to use,not heard of it,want to use a little,not heard of it,Web development,very high impact,Don't know :shrug:,some impact,very high impact,very high impact,very high impact,low impact,some impact,very high impact,very high impact,don’t know what it is :shrug:,very interested,very interested,very interested,very interested,very interested,very interested,very interested,really needs this,really needs this,needs this,needs this,really needs this,"Developer, full-stack","Handling advanced front-end patterns (state management, data loading, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",2 years,Able to handle complex multi-server or microservices architectures,Consulting & Services,Australia,,,,,not used,want to use a little,not used,don’t want to use
6/15/2021 7:08:18,not used,have used occasionally,not used,not used,use sometimes,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,want to use a lot,not heard of it,want to use a lot,don’t want to use,"Containerisation, Game Development, Scientific, Artificial Intelligence",Don't know :shrug:,Don't know :shrug:,very high impact,very high impact,very high impact,some impact,some impact,Don't know :shrug:,Don't know :shrug:,some impact,modest interest,no interest,don’t know what it is :shrug:,very interested,don’t know what it is :shrug:,don’t know what it is :shrug:,don’t know what it is :shrug:,don’t know what it is :shrug:,really needs this,needs this,needs this,really needs this,doesn’t need this,Data scientist or machine learning specialist,"Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,Able to handle complex multi-server or microservices architectures,Marketing/Sales/Analytics Tools,United States,,,,,not used,want to use a little,not used,want to use a little
6/15/2021 7:08:29,not used,use frequently,have used occasionally,not used,use frequently,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,"Web development, Serverless, Containerisation",very high impact,some impact,some impact,very high impact,very high impact,very high impact,some impact,some impact,low impact,very high impact,very interested,no interest,modest interest,no interest,no interest,no interest,no interest,very interested,needs this,needs this,needs this,needs this,really needs this,freelancer,Architecturing entire front-end codebases from scratch,"I am confident in using WebAssembly, but consider it a ‘black box’",< 1 year,Able to handle complex multi-server or microservices architectures,Finance,Korea South,,,,Javascript,not used,don’t want to use,not used,don’t want to use
6/15/2021 7:23:07,not used,not used,not used,not used,use frequently,not used,not used,not used,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a lot,want to use a little,want to use a lot,not heard of it,Web development,very high impact,some impact,some impact,some impact,some impact,low impact,low impact,low impact,low impact,low impact,very interested,very interested,very interested,very interested,very interested,very interested,modest interest,no interest,doesn’t need this,needs this,really needs this,really needs this,really needs this,Data scientist or machine learning specialist,"Handling advanced front-end patterns (state management, data loading, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,Germany,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 7:24:57,not used,use frequently,have used occasionally,use frequently,not used,not used,use frequently,not used,want to use a little,want to use a lot,don’t want to use,want to use a lot,want to use a little,want to use a little,want to use a little,want to use a little,"Web development, Serverless, Game Development",very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very interested,very interested,very interested,modest interest,modest interest,modest interest,very interested,very interested,really needs this,really needs this,really needs this,needs this,really needs this,"Developer, back-end","Handling advanced front-end patterns (state management, data loading, etc.)","I am confident in using WebAssembly, but consider it a ‘black box’",< 1 year,Able to handle complex multi-server or microservices architectures,Finance,China,,,,,not used,want to use a little,use frequently,want to use a little
6/15/2021 7:27:52,not used,use frequently,have used occasionally,have used occasionally,use sometimes,have used occasionally,have used occasionally,have used occasionally,don’t want to use,want to use a lot,don’t want to use,want to use a little,want to use a little,want to use a little,want to use a little,want to use a little,"Web development, Containerisation, Game Development",some impact,some impact,low impact,very high impact,some impact,low impact,low impact,low impact,some impact,low impact,very interested,no interest,modest interest,very interested,modest interest,no interest,modest interest,very interested,really needs this,really needs this,really needs this,doesn’t need this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I’ve created advanced WebAssembly tooling (compilers, analyzers)",5+ years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Programming & Technical Tools,Germany,,,,,not used,don’t want to use,not used,want to use a little
6/15/2021 7:29:36,not used,have used occasionally,not used,not used,not used,not used,have used occasionally,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a little,don’t want to use,"Web development, Internet of Things",very high impact,Don't know :shrug:,some impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,no interest,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,very interested,really needs this,needs this,doesn’t need this,doesn’t need this,needs this,Engineering manager,"Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,Able to handle complex multi-server or microservices architectures,Consulting & Services,Australia,,,,,not used,want to use a little,use sometimes,want to use a little
6/15/2021 7:43:30,not used,not used,not used,not used,have used occasionally,not used,not used,not used,don’t want to use,want to use a little,don’t want to use,don’t want to use,want to use a little,don’t want to use,don’t want to use,don’t want to use,Web development,some impact,low impact,some impact,some impact,some impact,low impact,low impact,low impact,Don't know :shrug:,Don't know :shrug:,modest interest,no interest,modest interest,modest interest,very interested,modest interest,no interest,very interested,doesn’t need this,doesn’t need this,needs this,doesn’t need this,needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I can confidently describe the inner workings of WebAssembly (wasm binary structure, linear memory)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Social Media,Russian Federation,WAT,,,WAT,not used,don’t want to use,not used,don’t want to use
6/15/2021 7:50:45,not used,use frequently,not used,have used occasionally,have used occasionally,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,want to use a little,want to use a little,don’t want to use,want to use a little,"Web development, Serverless",very high impact,Don't know :shrug:,very high impact,very high impact,some impact,some impact,some impact,low impact,very high impact,very high impact,modest interest,no interest,don’t know what it is :shrug:,very interested,modest interest,modest interest,modest interest,very interested,needs this,needs this,doesn’t need this,doesn’t need this,needs this,Senior executive/VP,"Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,Able to handle complex multi-server or microservices architectures,Programming & Technical Tools,United States,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 7:51:11,not used,not used,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a little,don’t want to use,want to use a little,don’t want to use,don’t want to use,want to use a little,don’t want to use,"Containerisation, Scientific, Audio / Video Processing, Terminal",very high impact,low impact,some impact,some impact,some impact,some impact,some impact,some impact,some impact,some impact,very interested,modest interest,modest interest,very interested,modest interest,very interested,very interested,very interested,needs this,needs this,needs this,needs this,needs this,"Developer, mobile","Writing short, simple JavaScript or jQuery statements","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,"Able to set up all-in-one CMSs (WordPress, etc.) or static site generators (Jekyll, etc.)",Programming & Technical Tools,France,C / WASI,,,,not used,want to use a little,not used,don’t want to use
6/15/2021 7:56:32,use sometimes,have used occasionally,not used,not used,not used,not used,not used,not used,want to use a lot,want to use a little,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,Web development,very high impact,Don't know :shrug:,Don't know :shrug:,very high impact,very high impact,very high impact,very high impact,Don't know :shrug:,very high impact,very high impact,don’t know what it is :shrug:,modest interest,very interested,modest interest,modest interest,modest interest,modest interest,very interested,needs this,needs this,needs this,really needs this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I am confident in using WebAssembly, but consider it a ‘black box’",3 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Education,China,,,,,not used,want to use a lot,not used,don’t want to use
6/15/2021 8:00:55,not used,not used,have used occasionally,not used,not used,not used,not used,not used,don’t want to use,want to use a little,want to use a little,don’t want to use,don’t want to use,don’t want to use,don’t want to use,don’t want to use,Web development,some impact,some impact,low impact,some impact,some impact,some impact,low impact,low impact,low impact,low impact,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,modest interest,needs this,needs this,really needs this,needs this,really needs this,"Developer, full-stack","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,Able to handle complex multi-server or microservices architectures,Ecommerce & Retail,Spain,,,,,not used,don’t want to use,not used,want to use a little
6/15/2021 8:04:43,not used,use frequently,not used,not used,not used,not used,use frequently,not used,not heard of it,want to use a lot,not heard of it,not heard of it,not heard of it,not heard of it,want to use a lot,not heard of it,"Serverless, Portable Extension modules ",very high impact,Don't know :shrug:,some impact,very high impact,Don't know :shrug:,Don't know :shrug:,low impact,Don't know :shrug:,Don't know :shrug:,some impact,very interested,no interest,modest interest,very interested,don’t know what it is :shrug:,very interested,no interest,modest interest,needs this,really needs this,doesn’t need this,needs this,doesn’t need this,Data scientist or machine learning specialist,Architecturing entire front-end codebases from scratch,"I’ve created advanced WebAssembly tooling (compilers, analyzers)",2 years,"Setting up an entire back-end from scratch (Go, Node.js, etc.)",Automotive,Germany,,,,,not used,not heard of it,use frequently,want to use a lot
6/15/2021 8:05:30,not used,use frequently,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,don’t want to use,don’t want to use,don’t want to use,don’t want to use,want to use a lot,don’t want to use,Game Development,very high impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,low impact,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,Don't know :shrug:,very interested,no interest,don’t know what it is :shrug:,very interested,don’t know what it is :shrug:,don’t know what it is :shrug:,don’t know what it is :shrug:,very interested,needs this,needs this,doesn’t need this,really needs this,doesn’t need this,"Developer, back-end","Working on existing front-end codebases using modern frameworks (React, Vue, etc.)","I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",< 1 year,Able to handle complex multi-server or microservices architectures,Consulting & Services,Spain,,,,,not used,don’t want to use,not used,don’t want to use
6/15/2021 8:07:11,have used occasionally,not used,have used occasionally,have used occasionally,not used,not used,not used,not used,want to use a little,don’t want to use,want to use a little,want to use a little,don’t want to use,don’t want to use,don’t want to use,don’t want to use,"Web development, Game Development",some impact,low impact,low impact,low impact,low impact,some impact,low impact,low impact,low impact,low impact,modest interest,very interested,very interested,modest interest,modest interest,modest interest,modest interest,no interest,really needs this,really needs this,really needs this,needs this,really needs this,"Developer, full-stack",Architecturing entire front-end codebases from scratch,"I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",3 years,Able to handle complex multi-server or microservices architectures,Consulting & Services,Portugal,D,,,,not used,don’t want to use,not used,want to use a little
6/15/2021 8:10:03,not used,use frequently,not used,not used,not used,not used,not used,not used,don’t want to use,want to use a lot,want to use a little,don’t want to use,want to use a little,don’t want to use,want to use a little,want to use a little,Web development,very high impact,Don't know :shrug:,Don't know :shrug:,some impact,very high impact,very high impact,very high impact,very high impact,very high impact,very high impact,very interested,modest interest,modest interest,very interested,very interested,modest interest,modest interest,very interested,doesn’t need this,needs this,needs this,needs this,really needs this,Data scientist or machine learning specialist,Architecturing entire front-end codebases from scratch,"I have a reasonable understanding of how WebAssembly works (separate VM, host interface)",2 years,"Able to develop apps using pre-existing frameworks (Rails, Laravel, etc.)",Programming & Technical Tools,Australia,,,,,not used,don’t want to use,not used,don’t want to use
